disaster_id,storm_name_clean,year,month,decade,era,region,location,intensity_category,deaths,affected,affected_millions,displaced,damage_usd,damage_billions
1982-0173-PHL,(Akang),1982,3.0,1980s,Pre-2010,Unspecified,,Moderate,25,25099,0.025099,1180,2400000.0,0.0024
1982-0174-PHL,(Emang),1982,7.0,1980s,Pre-2010,Unspecified,,Minor,10,12319,0.012319,431,4500000.0,0.0045
1982-0175-PHL,(Norming),1982,8.0,1980s,Pre-2010,Unspecified,,Moderate,29,36927,0.036927,5365,4200000.0,0.0042
1982-0176-PHL,(Aning),1982,12.0,1980s,Pre-2010,Unspecified,Visayan Sea region,Minor,0,85,8.5e-05,44,5000.0,5e-06
1983-0096-PHL,Vera (Bebeng),1983,7.0,1980s,Pre-2010,Luzon,Southeast Luzon,Severe,115,149892,0.149892,29054,1640000.0,0.00164
1983-0219-PHL,Ellen (Herming),1983,9.0,1980s,Pre-2010,Unspecified,,Minor,3,1684,0.001684,195,430000.0,0.00043
1983-0220-PHL,Orchid (Warling),1983,11.0,1980s,Pre-2010,Unspecified,,Minor,8,18854,0.018854,611,2250000.0,0.00225
1984-0073-PHL,June (Maring),1984,8.0,1980s,Pre-2010,Luzon,"Northern Luzon, Pangasinan province",Severe,138,483747,0.483747,7745,23000000.0,0.023
1984-0105-PHL,Agnes (Undang),1984,11.0,1980s,Pre-2010,Visayas,"Capiz, Ilailo, Aklau, Antique, Leyte, Eastern Samar, Roxas, Tacloban",Catastrophic,1079,2261900,2.2619,765965,96600000.0,0.0966
1984-0185-PHL,Ike (Nitang) and Maring,1984,9.0,1980s,Pre-2010,Mindanao,"Surigao del Norte, Bohol Isl, Mindanao, Negros Occidental, Cebu provinces",Catastrophic,1399,1786865,1.786865,547076,216700000.0,0.2167
1984-0186-PHL,Warren (Reming),1984,10.0,1980s,Pre-2010,Unspecified,,Moderate,63,2694,0.002694,740,190000.0,0.00019
1985-0124-PHL,Dot (Saling),1985,10.0,1980s,Pre-2010,Luzon,"Aurora, Nueva Ecija, Tarlac, Bur Lacan provinces (Central Luzon)",Catastrophic,81,1183626,1.183626,0,62373000.0,0.062373
1985-0190-PHL,Hal (Kuring) and Irma (Daling),1985,6.0,1980s,Pre-2010,Luzon,"Luzon, Ilocos Sur, Ilocos Norte, Benguet, Nueva Ecija, Bataan, Zambales, Vigan, Bantay, San Esteban, Laoag, Bagio city, Pampanga",Severe,100,420200,0.4202,200,20000000.0,0.02
1985-0192-PHL,Tess (Miling),1985,9.0,1980s,Pre-2010,Unspecified,,Minor,5,148,0.000148,56,660000.0,0.00066
1986-0080-PHL,Peggy (Gading),1986,7.0,1980s,Pre-2010,Luzon,"Ilocos, centra Luzon, Southern Tagalos, Metro Manilla",Severe,109,647313,0.647313,2689,30710000.0,0.03071
1986-0104-PHL,Wayne (Miding),1986,9.0,1980s,Pre-2010,Luzon,"Pangasinan, Bataan, Bulacan, Pampanga, Benguet, Abra, Zambales, Metro Manila",Moderate,23,482704,0.482704,0,13150000.0,0.01315
1986-0122-PHL,Dom (Oyang),1986,10.0,1980s,Pre-2010,Luzon,"Muntinlupa, Metro Manila, Bulacan",Moderate,22,82555,0.082555,0,1200000.0,0.0012
1986-0151-PHL,Ellen (Daling),1986,10.0,1980s,Pre-2010,Unspecified,,Minor,4,3134,0.003134,52,1400000.0,0.0014
1986-0152-PHL,Georgia (Ruping),1986,10.0,1980s,Pre-2010,Unspecified,,Moderate,2,308,0.000308,49,36000000.0,0.036
1986-0153-PHL,Narge (Aning),1986,12.0,1980s,Pre-2010,Unspecified,,Minor,16,26722,0.026722,3843,4000000.0,0.004
1987-0146-PHL,Betty (Herming),1987,8.0,1980s,Pre-2010,Luzon,"Batangas, Laguna, Bicol, Mindoro, Cavite, Luzon",Catastrophic,85,1269825,1.269825,297900,98600000.0,0.0986
1987-0197-PHL,Lynn (Pedang),1987,10.0,1980s,Pre-2010,Luzon,"Cagayan, Ilocos Norte, Kalin-Aapayo province",Severe,100,78979,0.078979,18396,25000000.0,0.025
1987-0212-PHL,Nina (Sisang),1987,11.0,1980s,Pre-2010,Visayas,"Region IV, Marinduque, Quezon, Laguna, Batangas, Region V, Sorgoson, Albay, Battan, Cavite, Masbaten Camarines Sur, Leyte, Northern Samar",Catastrophic,882,1819112,1.819112,0,56000000.0,0.056
1987-0239-PHL,Cart (Ising),1987,8.0,1980s,Pre-2010,Unspecified,,Minor,5,13336,0.013336,89,5600000.0,0.0056
1987-0240-PHL,Phillis (Trining),1987,12.0,1980s,Pre-2010,Unspecified,,Moderate,22,56380,0.05638,8754,8500000.0,0.0085
1988-0231-PHL,Susan (Biring),1988,5.0,1980s,Pre-2010,Unspecified,,Moderate,36,56000,0.056,0,1000000.0,0.001
1988-0312-PHL,Warren (Huaning),1988,7.0,1980s,Pre-2010,Luzon,Northern Luzon,Moderate,6,117355,0.117355,21235,11516000.0,0.011516
1988-0480-PHL,Ruby (Unsang),1988,10.0,1980s,Pre-2010,Mindanao,"Tarlac, Southern Tagalog, Metro Manila, Albay, Cebu, Cagayan de Oro provinces",Catastrophic,416,3250208,3.250208,0,240500000.0,0.2405
1988-0506-PHL,Skip (Yoning),1988,11.0,1980s,Pre-2010,Visayas,"Manilla, Tagalog, Bicol, western Visayas",Catastrophic,289,1045029,1.045029,45000,149060000.0,0.14906
1988-0557-PHL,Tess (Welpring),1988,11.0,1980s,Pre-2010,Unspecified,,Moderate,41,28913,0.028913,86,940000.0,0.00094
1989-0120-PHL,Gordon (Goring),1989,7.0,1980s,Pre-2010,Luzon,"Ilocos Sur, Ilocos Norte, Cagayan, Isabela, Nueva Vizcaya, La Union",Moderate,97,486382,0.486382,0,61000000.0,0.061
1989-0125-PHL,Dan (Saling),1989,10.0,1980s,Pre-2010,Visayas,"Albay, Bataan, Batangas, Bulacan, Camarines norte, Camarnies Sur, Cavite, Esatern Samar, Laguna, Marinduque, Masbate, Northern Leyte, Northern Samar, Nueva Ecija, Pampanga, Quezon, Rizal, Samar, Sorgoson, southern Leyte, Zambales, national capital region",Severe,58,736605,0.736605,76500,59200000.0,0.0592
1989-0126-PHL,Elsie (Tasing),1989,10.0,1980s,Pre-2010,Luzon,"Bataan, Benguet, Ifugao, Isabela, Kalinga-Apayao, La Union, Nueva Vizcaya, Pangasinan, Cagayan, Ilocios Sur, Neava Ecija, Quirino provinces, National capital region",Moderate,30,458679,0.458679,0,35400000.0,0.0354
1989-0127-PHL,Angela (Rubing),1989,10.0,1980s,Pre-2010,Luzon,"Cagayan, Ilocos Norte, Kalinga-Apayao, Nueva Viscayas provinces",Severe,147,289191,0.289191,84000,8000000.0,0.008
1989-0129-PHL,Sarah (Openg),1989,9.0,1980s,Pre-2010,Luzon,"Benguet, Ilocos Norte, Ilocos Sur, Kalinga Apayao, La Union, Zambales",Moderate,22,140021,0.140021,0,4300000.0,0.0043
1989-0132-PHL,Hunt (Unsing),1989,11.0,1980s,Pre-2010,Visayas,"Battan, Bulacan, Pampanga, North Metro Manila, Calauag Popillio Isl., northern Samar, Neava Ecija, Quezon, Rizal, Tarlac provinces",Minor,11,13050,0.01305,212,325000.0,0.000325
1989-0187-PHL,Breda (Bining),1989,5.0,1980s,Pre-2010,Unspecified,,Minor,13,12937,0.012937,652,2860000.0,0.00286
1990-0025-PHL,Ofelia (Biring) & Percy,1990,6.0,1990s,Pre-2010,Luzon,North and Eastern Luzon,Moderate,64,160014,0.160014,0,0.0,0.0
