sid,name,year,month,max_wind_kt,max_wind_kmh,lat_min,lat_max,lat_mean,lon_min,lon_max,lon_mean,start_time,end_time,decade,era,category,duration_hours,reached_mindanao
1983201N08144,WAYNE,1983,7,128.0,237.056,14.3,25.0,19.189655172413794,116.4,134.6,125.42068965517241,1983-07-22 03:00:00,1983-07-25 15:00:00,1980s,Pre-2010,Cat 4,84.0,False
1983212N06151,ABBY,1983,8,145.0,268.54,13.5,25.0,19.581632653061224,130.4,134.9,131.37551020408162,1983-08-07 06:00:00,1983-08-13 06:00:00,1980s,Pre-2010,Cat 5,144.0,False
1983220N16111,CARMEN,1983,8,43.0,79.63600000000001,14.2,24.0,18.054166666666667,115.1,133.0,119.34791666666666,1983-08-09 15:00:00,1983-08-15 12:00:00,1980s,Pre-2010,TS,141.0,False
1983229N15140,DOM,1983,8,55.0,101.86,15.6,19.4,17.063157894736843,132.1,134.8,133.2421052631579,1983-08-18 18:00:00,1983-08-21 00:00:00,1980s,Pre-2010,TS,54.0,False
1983239N10183,ELLEN,1983,9,123.0,227.79600000000002,10.9,21.1,16.8475,115.4,134.4,124.3525,1983-09-03 12:00:00,1983-09-08 09:00:00,1980s,Pre-2010,Cat 4,117.0,False
1983259N08161,FORREST,1983,9,148.0,274.096,18.0,25.0,21.343478260869563,126.4,134.7,130.0304347826087,1983-09-22 18:00:00,1983-09-25 12:00:00,1980s,Pre-2010,Cat 5,66.0,False
1983271N18118,GEORGIA,1983,9,38.0,70.376,17.6,19.1,18.224999999999998,115.4,117.7,116.98333333333333,1983-09-27 12:00:00,1983-09-28 21:00:00,1980s,Pre-2010,TS,33.0,False
1983274N15119,UNNAMED,1983,9,29.0,53.708000000000006,14.5,14.9,14.666666666666666,115.3,118.5,116.89999999999999,1983-09-30 18:00:00,1983-10-01 09:00:00,1980s,Pre-2010,TD,15.0,False
1983276N06130,HERBERT,1983,10,25.0,46.300000000000004,5.1,10.8,7.379310344827586,115.1,129.9,122.21379310344827,1983-10-03 00:00:00,1983-10-06 12:00:00,1980s,Pre-2010,TD,84.0,True
1983279N04140,JOE,1983,10,50.0,92.60000000000001,8.3,17.5,13.673529411764704,115.3,134.9,125.0,1983-10-08 03:00:00,1983-10-12 06:00:00,1980s,Pre-2010,TS,99.0,True
1983279N17148,IDA,1983,10,60.0,111.12,21.4,24.8,23.014285714285712,131.8,134.7,132.85714285714286,1983-10-08 12:00:00,1983-10-09 06:00:00,1980s,Pre-2010,TS,18.0,False
1983282N09155,KIM,1983,10,25.0,46.300000000000004,9.3,10.4,9.9,115.2,134.8,124.47916666666667,1983-10-12 18:00:00,1983-10-15 15:00:00,1980s,Pre-2010,TD,69.0,True
1983287N09164,LEX,1983,10,40.0,74.08,12.9,16.7,15.363636363636363,115.0,134.8,124.04848484848485,1983-10-18 12:00:00,1983-10-22 12:00:00,1980s,Pre-2010,TS,96.0,False
1983299N07172,MARGE,1983,11,143.0,264.836,18.3,22.2,19.959999999999997,133.5,134.9,134.0,1983-11-04 03:00:00,1983-11-05 21:00:00,1980s,Pre-2010,Cat 5,42.0,False
1983301N11119,UNNAMED,1983,10,23.0,42.596000000000004,10.8,11.8,11.357142857142858,115.0,119.0,116.85714285714286,1983-10-27 18:00:00,1983-10-28 12:00:00,1980s,Pre-2010,TD,18.0,False
1983317N12153,ORCHID,1983,11,123.0,227.79600000000002,10.5,18.4,14.935443037974684,124.4,134.9,126.71012658227849,1983-11-17 06:00:00,1983-11-27 00:00:00,1980s,Pre-2010,Cat 4,234.0,False
1983321N11111,PERCY,1983,11,33.0,61.116,8.6,12.0,10.175,115.1,123.0,118.8875,1983-11-23 03:00:00,1983-11-25 00:00:00,1980s,Pre-2010,TD,45.0,True
1983325N08148,RUTH,1983,11,60.0,111.12,10.1,18.6,16.365853658536587,125.3,135.0,128.90975609756097,1983-11-25 12:00:00,1983-11-30 12:00:00,1980s,Pre-2010,TS,120.0,False
1983334N09142,SPERRY,1983,12,53.0,98.156,13.4,18.0,16.391666666666666,131.5,134.9,132.78333333333333,1983-12-02 03:00:00,1983-12-05 00:00:00,1980s,Pre-2010,TS,69.0,False
1983347N06154,THELMA,1983,12,55.0,101.86,12.1,16.7,14.413333333333332,133.2,134.8,133.74666666666667,1983-12-16 00:00:00,1983-12-17 18:00:00,1980s,Pre-2010,TS,42.0,False
1983352N08129,UNNAMED,1983,12,29.0,53.708000000000006,7.5,10.8,9.509090909090908,129.0,132.8,130.79999999999998,1983-12-17 18:00:00,1983-12-19 00:00:00,1980s,Pre-2010,TD,30.0,True
1984159N12116,VERNON,1984,6,,,11.8,11.9,11.84,115.2,116.2,115.67999999999999,1984-06-07 00:00:00,1984-06-07 12:00:00,1980s,Pre-2010,Unknown,12.0,False
1984169N20137,WYNNE,1984,6,58.0,107.41600000000001,20.6,22.4,21.78627450980392,115.3,135.0,126.95882352941176,1984-06-18 09:00:00,1984-06-24 15:00:00,1980s,Pre-2010,TS,150.0,False
1984180N16130,ALEX,1984,6,80.0,148.16,15.8,24.9,17.46888888888889,121.0,129.6,125.35333333333332,1984-06-28 00:00:00,1984-07-03 12:00:00,1980s,Pre-2010,Cat 1,132.0,False
1984184N06139,BETTY,1984,7,48.0,88.896,8.1,19.2,14.781818181818181,115.2,134.8,123.7,1984-07-02 18:00:00,1984-07-08 03:00:00,1980s,Pre-2010,TS,129.0,True
1984214N12143,FREDA,1984,8,53.0,98.156,11.2,24.9,16.87666666666667,122.2,134.7,128.32,1984-08-03 12:00:00,1984-08-07 03:00:00,1980s,Pre-2010,TS,87.0,False
1984220N03145,UNNAMED,1984,8,30.0,55.56,9.2,22.8,17.588636363636365,119.6,134.5,126.2159090909091,1984-08-09 09:00:00,1984-08-14 18:00:00,1980s,Pre-2010,TD,129.0,True
1984222N20115,UNNAMED,1984,8,19.0,35.188,19.5,19.5,19.5,115.0,115.0,115.0,1984-08-09 06:00:00,1984-08-09 06:00:00,1980s,Pre-2010,TD,0.0,False
1984225N18142,HOLLY,1984,8,65.0,120.38000000000001,20.5,24.8,22.71923076923077,127.3,134.7,130.63846153846154,1984-08-15 06:00:00,1984-08-18 09:00:00,1980s,Pre-2010,Cat 1,75.0,False
1984227N18118,GERALD,1984,8,55.0,101.86,17.9,24.6,19.40277777777778,115.0,118.9,117.20277777777778,1984-08-14 00:00:00,1984-08-21 15:00:00,1980s,Pre-2010,TS,183.0,False
1984227N21135,UNNAMED,1984,8,29.0,53.708000000000006,20.5,24.1,22.645454545454545,127.2,135.0,130.3318181818182,1984-08-14 00:00:00,1984-08-17 00:00:00,1980s,Pre-2010,TD,72.0,False
1984234N16147,UNNAMED,1984,8,23.0,42.596000000000004,22.7,24.9,23.86,130.5,134.3,132.38000000000002,1984-08-24 18:00:00,1984-08-25 06:00:00,1980s,Pre-2010,TD,12.0,False
1984238N18137,JUNE,1984,8,65.0,120.38000000000001,17.5,23.9,19.013636363636365,115.1,134.9,124.27272727272727,1984-08-25 18:00:00,1984-08-31 03:00:00,1980s,Pre-2010,Cat 1,129.0,False
1984239N08146,IKE,1984,8,120.0,222.24,9.4,16.0,11.302777777777777,115.4,135.0,124.63333333333334,1984-08-30 21:00:00,1984-09-04 06:00:00,1980s,Pre-2010,Cat 4,105.0,True
1984267N18120,LYNN,1984,9,30.0,55.56,17.8,18.6,18.37857142857143,115.1,119.7,117.56428571428572,1984-09-22 18:00:00,1984-09-24 09:00:00,1980s,Pre-2010,TD,39.0,False
1984284N11116,SUSAN,1984,10,25.0,46.300000000000004,10.7,11.5,11.200000000000001,115.1,117.0,116.43333333333334,1984-10-10 00:00:00,1984-10-11 09:00:00,1980s,Pre-2010,TD,33.0,False
1984291N13130,WARREN,1984,10,65.0,120.38000000000001,11.0,15.7,13.316161616161615,115.0,130.1,120.57575757575758,1984-10-17 00:00:00,1984-10-30 15:00:00,1980s,Pre-2010,Cat 1,327.0,False
