disaster_id,storm_name,year,month,day,location,deaths,affected,displaced,damage_usd_thousands,damage_usd_adj_thousands,decade,damage_usd,damage_usd_adj,damage_billions,storm_name_clean
2008-0292-PHL,"Tropical Storm ""Fung-Wong"" (Igme)",2008,7.0,28.0,"Piddig, Pasuquin areas (Metropolitan Manila district, National Capital region (NCR) province), Ilocos Norte, Ilocos Sur districts (Region I (Ilocos region) province), Abra district (Cordillera Administrative region (CAR) province)",10,22081,0,40.0,58.0,2000s,40000.0,58000.0,4e-05,"Tropical Storm ""Fung-Wong"" (Igme)"
2008-0329-PHL,"Tropical storm ""Kammuri"" (Julian)",2008,8.0,4.0,"Quezon city (Metropolitan Manila district, National Capital region (NCR) province), Cordillera Administrative region (CAR), Region I (Ilocos region), Region III (Central Luzon) provinces",2,4498,0,,,2000s,0.0,,0.0,"Tropical storm ""Kammuri"" (Julian)"
2008-0369-PHL,"Tropical storm ""Nuri"" (Karen)",2008,8.0,22.0,"Region I (Ilocos region), Region II (Cagayan Valley), Cordillera Administrative region (CAR) provinces",38,429463,0,33870.0,49348.0,2000s,33870000.0,49348000.0,0.03387,"Tropical storm ""Nuri"" (Karen)"
2008-0426-PHL,"Typhoon ""Hagupit"" (Nina)",2008,9.0,22.0,"Itogon area (Benguet district, Cordillera Administrative region (CAR) province)",37,46132,4485,7420.0,10811.0,2000s,7420000.0,10811000.0,0.00742,"Typhoon ""Hagupit"" (Nina)"
2008-0540-PHL,"Tropical Storm ""Maysak"" (Quinta-Sony)",2008,11.0,6.0,"Region IV (Southern Tagalog), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) provinces",19,474,160,,,2000s,0.0,,0.0,"Tropical Storm ""Maysak"" (Quinta-Sony)"
2008-0609-PHL,"TYphoon ""Rammasun"" (Butchoy)",2008,5.0,13.0,"Lambayong, Esperanza areas (Sultan Kudarat district, Region XII (Soccsksargen) province)",1,8390,0,280.0,408.0,2000s,280000.0,408000.0,0.00028,"TYphoon ""Rammasun"" (Butchoy)"
2008-0621-PHL,"Typhoon ""Helen""",2008,7.0,18.0,"Nueva Era, Paoay, San Nicolas, Bangui, Batac city, Dingras, Pasuquin, Marcos, Piddig, Laoag city, Bacarra, Sarrat, Currimao, Pagudpud areas (Ilocos Norte district, Region I (Ilocos region) province), Luna area (La Union district, Region I (Ilocos region) province), Santa Terisita area (Cagayan district, Region II (Cagayan Valley) province)",2,31130,0,147.0,214.0,2000s,147000.0,214000.0,0.000147,"Typhoon ""Helen"""
2008-0623-PHL,"TRopical storm ""Higos"" (Pablo)",2008,9.0,29.0,"Nueva Ecija, Pampanga districts (Region III (Central Luzon) province)",1,27683,0,,,2000s,0.0,,0.0,"TRopical storm ""Higos"" (Pablo)"
2009-0165-PHL,"Typhoon ""Emong"" (Chanom)",2009,5.0,7.0,"Aringay, Agoo, Bacnotan, Bagulin, Bauang, Burgos, Caba, Naguillian Pugo, Rosario, San Gabriel, San Juan, Sto Thomas, Tubao, San Fernando areas (La Union district, Region I (Ilocos region) province), Anda, Agno, Bani, Bolinao, Dasol, Infanta, Lingayan, Mabini, Sta Barbara, Sual, Alaminos city, Dagupan areas (Pangasinan district, Region I (Ilocos region) province), Ambaguio, Bagabag, Bambang, Bayombong, Dupax del Sur, Solano, Sta Fe areas (Nueva Vizcaya district, Region II (Cagayan Valley) province), Aurora, Cabaruan, Cordon, Delfin Albano, Ilagan, Luna, Quirino, Ramon, Reina Mercedes, Cauayan city, Santiago areas (Isabela district, Region II (Cagayan Valley) province), Cabarroguis, Saguiday areas (Quirino district, Region II (Cagayan Valley) province), Rizal area (Cagayan district, Region II (Cagayan Valley) province), Sta Cruz, Olongapo areas (Zambales district, Region III (Central Luzon) province), Guagua area (Pampanga district, Region III (Central Luzon) province), Kiangan, Asipulo, Lamut, Lagawe, Hingyon, Hungduan, Tinoc, Aguinaldo, Alfonso Lista areas (Ifugao district, Cordillera Administrative region (CAR) province), Pinukpuk, Lubuagan areas (Kalinga district, Cordillera Administrative region (CAR) province), Baguio city (Benguet district, Cordillera Administrative region (CAR) province)",77,401007,0,30342.0,44365.0,2000s,30342000.0,44365000.0,0.030342,"Typhoon ""Emong"" (Chanom)"
2009-0174-PHL,"Typhhon ""Dante"" (Kujira)",2009,4.0,29.0,Region V (Bicol region) province,29,383465,0,25810.0,37739.0,2000s,25810000.0,37739000.0,0.02581,"Typhhon ""Dante"" (Kujira)"
